name,date_from,date_to
Neujahr,2026-01-01 00:00:00,2026-01-01 23:59:59
Karfreitag,2026-04-03 00:00:00,2026-04-03 23:59:59
Ostermontag,2026-04-06 00:00:00,2026-04-06 23:59:59
Tag der Arbeit,2026-05-01 00:00:00,2026-05-01 23:59:59
Christi Himmelfahrt,2026-05-14 00:00:00,2026-05-14 23:59:59
Pfingstmontag,2026-05-25 00:00:00,2026-05-25 23:59:59
Tag der Deutschen Einheit,2026-10-03 00:00:00,2026-10-03 23:59:59
Reformationstag,2026-10-31 00:00:00,2026-10-31 23:59:59
1. Weihnachtstag,2026-12-25 00:00:00,2026-12-25 23:59:59
2. Weihnachtstag,2026-12-26 00:00:00,2026-12-26 23:59:59
Neujahr,2027-01-01 00:00:00,2027-01-01 23:59:59
Karfreitag,2027-03-26 00:00:00,2027-03-26 23:59:59
Ostermontag,2027-03-29 00:00:00,2027-03-29 23:59:59
Tag der Arbeit,2027-05-01 00:00:00,2027-05-01 23:59:59
Christi Himmelfahrt,2027-05-06 00:00:00,2027-05-06 23:59:59
Pfingstmontag,2027-05-17 00:00:00,2027-05-17 23:59:59
Tag der Deutschen Einheit,2027-10-03 00:00:00,2027-10-03 23:59:59
Reformationstag,2027-10-31 00:00:00,2027-10-31 23:59:59
1. Weihnachtstag,2027-12-25 00:00:00,2027-12-25 23:59:59
2. Weihnachtstag,2027-12-26 00:00:00,2027-12-26 23:59:59
